New Water Account,Account 1,,
Utility Company,update name,,
Account #,13579,,
Rate Code,Enter Rate Code here,,
Meter # 1,123456,,
,,,
Water Bills,,,
Year,2016,,
From,To ,Consumption,Total Cost
Date (mm/dd/yy,Date (mm/dd/yy,Gln,$
01/01/15,1/31/2016,323,423
02/01/15,2/28/2016,3,43
03/01/15,3/31/2016,4,3
04/01/15,4/30/2016,3,2
05/01/15,5/31/2016,3,4
06/01/15,6/30/2016,3,4
07/01/15,7/31/2016,3,4
08/01/15,8/31/2016,3,4
09/01/15,9/30/2016,3,43
10/01/15,10/31/2016,33454,4
11/01/15,11/30/2016,3,4
12/01/15,12/31/2016,44,0
,,,
Year,2015,,
From,To ,Consumption,Total Cost
Date (mm/dd/yy,Date (mm/dd/yy,Gln,$
01/01/15,1/31/2015,45,4
02/01/15,2/28/2015,4,64
03/01/15,3/31/2015,4545,344
04/01/15,4/30/2015,5,44
05/01/15,5/31/2015,55,334
06/01/15,6/30/2015,5,0
07/01/15,7/31/2015,4,334
08/01/15,8/31/2015,55544,43
09/01/15,9/30/2015,44,0
10/01/15,10/31/2015,0,34
11/01/15,11/30/2015,0,0
12/01/15,12/31/2015,0,0
,,,
Year,2014,,
From,To ,Consumption,Total Cost
Date (mm/dd/yy,Date (mm/dd/yy,Gln,$
01/01/14,1/31/2014,0,0
02/01/14,2/28/2014,0,0
03/01/14,3/31/2014,0,0
04/01/14,4/30/2014,0,0
05/01/14,5/31/2014,0,0
06/01/14,6/30/2014,0,0
07/01/14,7/31/2014,0,0
08/01/14,8/31/2014,0,0
09/01/14,9/30/2014,0,0
10/01/14,10/31/2014,0,0
11/01/14,11/30/2014,0,0
12/01/14,12/31/2014,0,0
,,,
Year,2013,,
From,To ,Consumption,Total Cost
Date (mm/dd/yy,Date (mm/dd/yy,Gln,$
01/01/13,1/31/2013,0,0
02/01/13,2/28/2013,0,0
03/01/13,3/31/2013,0,0
04/01/13,4/30/2013,0,0
05/01/13,5/31/2013,0,0
06/01/13,6/30/2013,0,0
07/01/13,7/31/2013,0,0
08/01/13,8/31/2013,0,0
09/01/13,9/30/2013,0,0
10/01/13,10/31/2013,0,0
11/01/13,11/30/2013,0,0
12/01/13,12/31/2013,0,0
,,,
Year,2012,,
From,To ,Consumption,Total Cost
Date (mm/dd/yy,Date (mm/dd/yy,Gln,$
01/01/12,1/31/2012,0,0
02/01/12,2/28/2012,0,0
03/01/12,3/31/2012,0,0
04/01/12,4/30/2012,0,0
05/01/12,5/31/2012,0,0
06/01/12,6/30/2012,0,0
07/01/12,7/31/2012,0,0
08/01/12,8/31/2012,0,0
09/01/12,9/30/2012,0,0
10/01/12,10/31/2012,0,0
11/01/12,11/30/2012,0,0
12/01/12,12/31/2012,0,0
