New Electric  Account,Service 1,,,
Utility Company,AEP Indiana Michigan Power,,,
Account #,041-604-907-0-4,,,
Rate Code,02-05,,,
Meter # 1,455702583,,,
,,,,
Electric Bills,,,,
Year,2016,,,
From,To ,Consumption,Demand ,Total Cost
Date (mm/dd/yy,Date (mm/dd/yy,kWh,kW,$
1/1/2016,1/31/2016,60600,162,5310.68
2/1/2016,2/28/2016,61200,168,5404.94
3/1/2016,3/31/2016,0,0,0
4/1/2016,4/30/2016,0,0,0
5/1/2016,5/31/2016,0,0,0
6/1/2016,6/30/2016,0,0,0
7/1/2016,7/31/2016,0,0,0
8/1/2016,8/31/2016,0,0,0
9/1/2016,9/30/2016,0,0,0
10/1/2016,10/31/2016,0,0,0
11/1/2016,11/30/2016,0,0,0
12/1/2016,12/31/2016,0,0,0
,,,,
Year,2015,,,
From,To ,Consumption,Demand ,Total Cost
Date (mm/dd/yy,Date (mm/dd/yy,kWh,kW,$
1/1/2015,1/31/2015,74700,195,6695.83
2/1/2015,2/28/2015,77400,210,6932.4
3/1/2015,3/31/2015,80100,213,7279.79
4/1/2015,4/30/2015,79500,201,7070.43
5/1/2015,5/31/2015,75600,222,7139.21
6/1/2015,6/30/2015,83400,219,7329.31
7/1/2015,7/31/2015,79200,207,6985.89
8/1/2015,8/31/2015,82200,216,7174.97
9/1/2015,9/30/2015,76200,210,6780.41
10/1/2015,10/31/2015,72000,186,6212.05
11/1/2015,11/30/2015,0,0,0
12/1/2015,12/31/2015,62400,150,5489.35
,,,,
Year,2014,,,
From,To ,Consumption,Demand ,Total Cost
Date (mm/dd/yy,Date (mm/dd/yy,kWh,kW,$
1/1/2014,1/31/2014,86700,210,6568.43
2/1/2014,2/28/2014,77100,195,5885.49
3/1/2014,3/31/2014,73500,195,5464.25
4/1/2014,4/30/2014,98400,216,7086.69
5/1/2014,5/31/2014,100500,228,7227.12
6/1/2014,6/30/2014,96900,231,7051.76
7/1/2014,7/31/2014,92400,219,7075.93
8/1/2014,8/31/2014,94500,216,7198.13
9/1/2014,9/30/2014,77100,204,5960.98
10/1/2014,10/31/2014,75300,198,5817.18
11/1/2014,11/30/2014,83400,192,6309.31
12/1/2014,12/31/2014,80700,195,7156.05
,,,,
Year,2013,,,
From,To ,Consumption,Demand ,Total Cost
Date (mm/dd/yy,Date (mm/dd/yy,kWh,kW,$
1/1/2013,1/31/2013,0,0,0
2/1/2013,2/28/2013,0,0,0
3/1/2013,3/31/2013,0,0,0
4/1/2013,4/30/2013,0,0,0
5/1/2013,5/31/2013,0,0,0
6/1/2013,6/30/2013,0,0,0
7/1/2013,7/31/2013,0,0,0
8/1/2013,8/31/2013,0,0,0
9/1/2013,9/30/2013,0,0,0
10/1/2013,10/31/2013,0,0,0
11/1/2013,11/30/2013,0,0,0
12/1/2013,12/31/2013,84000,204,6367.99
,,,,
Year,2012,,,
From,To ,Consumption,Demand ,Total Cost
Date (mm/dd/yy,Date (mm/dd/yy,kWh,kW,$
1/1/2012,1/31/2012,0,0,0
2/1/2012,2/28/2012,0,0,0
3/1/2012,3/31/2012,0,0,0
4/1/2012,4/30/2012,0,0,0
5/1/2012,5/31/2012,0,0,0
6/1/2012,6/30/2012,0,0,0
7/1/2012,7/31/2012,0,0,0
8/1/2012,8/31/2012,0,0,0
9/1/2012,9/30/2012,0,0,0
10/1/2012,10/31/2012,0,0,0
11/1/2012,11/30/2012,0,0,0
12/1/2012,12/31/2012,0,0,0
