New Natural Gas  Account,Account 1,,
Utility Company,Vectren,,
Account #,02-600159692-5318888 6,,
Rate Code,COM 220,,
Meter # 1,N0993691,,
,,,
Natural Gas Bills,,,
Year,2016,,
From,To ,Consumption,Total Cost
Date (mm/dd/yy,Date (mm/dd/yy,Therms,$
1/1/2016,1/31/2016,0,0
2/1/2016,2/28/2016,0,0
3/1/2016,3/31/2016,0,0
4/1/2016,4/30/2016,0,0
5/1/2016,5/31/2016,0,0
6/1/2016,6/30/2016,0,0
7/1/2016,7/31/2016,0,0
8/1/2016,8/31/2016,0,0
9/1/2016,9/30/2016,0,0
10/1/2016,10/31/2016,0,0
11/1/2016,11/30/2016,0,0
12/1/2016,12/31/2016,0,0
,,,
Year,2015,,
From,To ,Consumption,Total Cost
Date (mm/dd/yy,Date (mm/dd/yy,Therms,$
1/1/2015,1/31/2015,279.34,309.19
2/1/2015,2/28/2015,488.78,433.49
3/1/2015,3/31/2015,601.97,544.11
4/1/2015,4/30/2015,16.51,110.69
5/1/2015,5/31/2015,5.26,53.12
6/1/2015,6/30/2015,0,49.22
7/1/2015,7/31/2015,0,0
8/1/2015,8/31/2015,0,0
9/1/2015,9/30/2015,0,0
10/1/2015,10/31/2015,0,0
11/1/2015,11/30/2015,0,0
12/1/2015,12/31/2015,0,0
,,,
Year,2014,,
From,To ,Consumption,Total Cost
Date (mm/dd/yy,Date (mm/dd/yy,Therms,$
1/1/2014,1/31/2014,465.69,454.95
2/1/2014,2/28/2014,1144.33,966.02
3/1/2014,3/31/2014,97.15,182.43
4/1/2014,4/30/2014,223.2,285.95
5/1/2014,5/31/2014,112.66,195.19
6/1/2014,6/30/2014,11.19,109.13
7/1/2014,7/31/2014,15.3,112.59
8/1/2014,8/31/2014,29.73,160.59
9/1/2014,9/30/2014,25.725,263.26
10/1/2014,10/31/2014,10.26,107.6
11/1/2014,11/30/2014,617.4,556.75
12/1/2014,12/31/2014,367.86,381.31
,,,
Year,2013,,
From,To ,Consumption,Total Cost
Date (mm/dd/yy,Date (mm/dd/yy,Therms,$
1/1/2013,1/31/2013,0,0
2/1/2013,2/28/2013,0,0
3/1/2013,3/31/2013,0,0
4/1/2013,4/30/2013,0,0
5/1/2013,5/31/2013,0,0
6/1/2013,6/30/2013,0,0
7/1/2013,7/31/2013,0,0
8/1/2013,8/31/2013,0,0
9/1/2013,9/30/2013,0,0
10/1/2013,10/31/2013,0,0
11/1/2013,11/30/2013,0,0
12/1/2013,12/31/2013,442.951,424.01
,,,
Year,2012,,
From,To ,Consumption,Total Cost
Date (mm/dd/yy,Date (mm/dd/yy,Therms,$
1/1/2012,1/31/2012,0,0
2/1/2012,2/28/2012,0,0
3/1/2012,3/31/2012,0,0
4/1/2012,4/30/2012,0,0
5/1/2012,5/31/2012,0,0
6/1/2012,6/30/2012,0,0
7/1/2012,7/31/2012,0,0
8/1/2012,8/31/2012,0,0
9/1/2012,9/30/2012,0,0
10/1/2012,10/31/2012,0,0
11/1/2012,11/30/2012,0,0
12/1/2012,12/31/2012,0,0
