New Electric  Account,Account 1,,,
Utility Company,Juarez Electric,,,
Account #,042-204-907-0-2,,,
Rate Code,General Service-215,,,
Meter # 1,455702877,,,
,,,,
Electric Bills,,,,
Year,2016,,,
From,To ,Consumption,Demand ,Total Cost
Date (mm/dd/yy,Date (mm/dd/yy,kWh,kW,$
1/1/2015,1/31/2016,12993,42.8,1581.42
2/1/2015,2/28/2016,17680,41.6,1617.02
3/1/2015,3/31/2016,14058,44.8,1781.96
4/1/2015,4/30/2016,0,0,0
5/1/2015,5/31/2016,0,0,0
6/1/2015,6/30/2016,0,0,0
7/1/2015,7/31/2016,0,0,0
8/1/2015,8/31/2016,0,0,0
9/1/2015,9/30/2016,0,0,0
10/1/2015,10/31/2016,0,0,0
11/1/2015,11/30/2016,0,0,0
12/1/2015,12/31/2016,0,0,0
,,,,
Year,2015,,,
From,To ,Consumption,Demand ,Total Cost
Date (mm/dd/yy,Date (mm/dd/yy,kWh,kW,$
1/1/2015,1/31/2015,19080,40.4,1701.89
2/1/2015,2/28/2015,12209,50.8,1661.5
3/1/2015,3/31/2015,12696,46.4,1760.73
4/1/2015,4/30/2015,12993,42.8,1581.42
5/1/2015,5/31/2015,17680,41.6,1617.02
6/1/2015,6/30/2015,14058,44.8,1781.96
7/1/2015,7/31/2015,14584,49.6,1874.55
8/1/2015,8/31/2015,15128,52.4,1942.96
9/1/2015,9/30/2015,15128,54.8,2035.83
10/1/2015,10/31/2015,16207,49.6,1806.48
11/1/2015,11/30/2015,16661,44.4,1613.94
12/1/2015,12/31/2015,0,0,0
,,,,
Year,2014,,,
From,To ,Consumption,Demand ,Total Cost
Date (mm/dd/yy,Date (mm/dd/yy,kWh,kW,$
1/1/2014,1/31/2014,18640,46.8,1460.58
2/1/2014,2/28/2014,16040,50,1308.77
3/1/2014,3/31/2014,17720,42.4,1332.23
4/1/2014,4/30/2014,19360,46.8,1456.08
5/1/2014,5/31/2014,23400,64.4,1772.78
6/1/2014,6/30/2014,22600,60,1712.23
7/1/2014,7/31/2014,22960,56,1803.7
8/1/2014,8/31/2014,21840,53.6,1721.62
9/1/2014,9/30/2014,20880,53.6,1645.37
10/1/2014,10/31/2014,17000,50,1377.35
11/1/2014,11/30/2014,18840,46.8,1481.46
12/1/2014,12/31/2014,0,0,0
,,,,
Year,2013,,,
From,To ,Consumption,Demand ,Total Cost
Date (mm/dd/yy,Date (mm/dd/yy,kWh,kW,$
1/1/2013,1/31/2013,0,0,0
2/1/2013,2/28/2013,0,0,0
3/1/2013,3/31/2013,0,0,0
4/1/2013,4/30/2013,0,0,0
5/1/2013,5/31/2013,0,0,0
6/1/2013,6/30/2013,0,0,0
7/1/2013,7/31/2013,0,0,0
8/1/2013,8/31/2013,0,0,0
9/1/2013,9/30/2013,0,0,0
10/1/2013,10/31/2013,0,0,0
11/1/2013,11/30/2013,0,0,0
12/1/2013,12/31/2013,0,0,0
,,,,
Year,2012,,,
From,To ,Consumption,Demand ,Total Cost
Date (mm/dd/yy,Date (mm/dd/yy,kWh,kW,$
1/1/2012,1/31/2012,0,0,0
2/1/2012,2/28/2012,0,0,0
3/1/2012,3/31/2012,0,0,0
4/1/2012,4/30/2012,0,0,0
5/1/2012,5/31/2012,0,0,0
6/1/2012,6/30/2012,0,0,0
7/1/2012,7/31/2012,0,0,0
8/1/2012,8/31/2012,0,0,0
9/1/2012,9/30/2012,0,0,0
10/1/2012,10/31/2012,0,0,0
11/1/2012,11/30/2012,0,0,0
12/1/2012,12/31/2012,0,0,0
