New Natural Gas  Account,Account 3,,
Utility Company,Detroit Edison,,
Account #,4577095,,
Rate Code,Gas Commercial Heating,,
Meter # 1,8374991,,
,,,
Natural Gas Bills,,,
Year,2016,,
From,To ,Consumption,Total Cost
Date (mm/dd/yy,Date (mm/dd/yy,Therms,$
1/1/2016,1/31/2016,34.09,2388.99
2/1/2016,2/28/2016,33.34,2337.15
3/1/2016,3/31/2016,0,0
4/1/2016,4/30/2016,0,0
5/1/2016,5/31/2016,0,0
6/1/2016,6/30/2016,0,0
7/1/2016,7/31/2016,0,0
8/1/2016,8/31/2016,0,0
9/1/2016,9/30/2016,0,0
10/1/2016,10/31/2016,0,0
11/1/2016,11/30/2016,0,0
12/1/2016,12/31/2016,0,0
,,,
Year,2015,,
From,To ,Consumption,Total Cost
Date (mm/dd/yy,Date (mm/dd/yy,Therms,$
1/1/2015,1/31/2015,23.06,1789.66
2/1/2015,2/28/2015,45.54,3347.49
3/1/2015,3/31/2015,19.97,1491.14
4/1/2015,4/30/2015,9.25,707.01
5/1/2015,5/31/2015,0.06,34.52
6/1/2015,6/30/2015,0,30.6
7/1/2015,7/31/2015,0,32.78
8/1/2015,8/31/2015,0,30.6
9/1/2015,9/30/2015,0,30.21
10/1/2015,10/31/2015,0.36,57.94
11/1/2015,11/30/2015,16.89,1265.52
12/1/2015,12/31/2015,26.46,1861.46
,,,
Year,2014,,
From,To ,Consumption,Total Cost
Date (mm/dd/yy,Date (mm/dd/yy,Therms,$
1/1/2014,1/31/2014,23.38,1837.18
2/1/2014,2/28/2014,21.25,1685.73
3/1/2014,3/31/2014,7.7,598.29
4/1/2014,4/30/2014,0,26.87
5/1/2014,5/31/2014,0.1,28.89
6/1/2014,6/30/2014,0,29.18
7/1/2014,7/31/2014,0,28.79
8/1/2014,8/31/2014,0.2,32.98
9/1/2014,9/30/2014,0.3,38.31
10/1/2014,10/31/2014,3.15,289.47
11/1/2014,11/30/2014,17.64,1482.26
12/1/2014,12/31/2014,21.74,1818.73
,,,
Year,2013,,
From,To ,Consumption,Total Cost
Date (mm/dd/yy,Date (mm/dd/yy,Therms,$
1/1/2013,1/31/2013,31.25,908.84
2/1/2013,2/28/2013,10.64,861.06
3/1/2013,3/31/2013,17.46,1411.95
4/1/2013,4/30/2013,1.7,163.52
5/1/2013,5/31/2013,7.93,659.98
6/1/2013,6/30/2013,0,26.87
7/1/2013,7/31/2013,0,26.61
8/1/2013,8/31/2013,0,26.87
9/1/2013,9/30/2013,0,26.87
10/1/2013,10/31/2013,9.93,708.13
11/1/2013,11/30/2013,20.01,1575.45
12/1/2013,12/31/2013,25.38,1983.96
,,,
Year,2012,,
From,To ,Consumption,Total Cost
Date (mm/dd/yy,Date (mm/dd/yy,Therms,$
1/1/2012,1/31/2012,0,0
2/1/2012,2/28/2012,0,0
3/1/2012,3/31/2012,0,0
4/1/2012,4/30/2012,0,0
5/1/2012,5/31/2012,0,0
6/1/2012,6/30/2012,0,0
7/1/2012,7/31/2012,0,0
8/1/2012,8/31/2012,0,0
9/1/2012,9/30/2012,0,0
10/1/2012,10/31/2012,0,0
11/1/2012,11/30/2012,15.83,13.56.73
12/1/2012,12/31/2012,23.08,1865.68
