New Electric  Account,Account 1,,,
Utility Company,Consumers Energy,,,
Account #,100000264752,,,
Rate Code,Elec Gen Pri Rate GPD Ind 1230,,,
Meter # 1,5327648,,,
,,,,
Electric Bills,,,,
Year,2016,,,
From,To ,Consumption,Demand ,Total Cost
Date (mm/dd/yy,Date (mm/dd/yy,kWh,kW,$
1/1/2015,1/31/2016,125400,0,14656.31
2/1/2015,2/28/2016,138600,0,14235.85
3/1/2015,3/31/2016,0,0,0
4/1/2015,4/30/2016,0,0,0
5/1/2015,5/31/2016,0,0,0
6/1/2015,6/30/2016,0,0,0
7/1/2015,7/31/2016,0,0,0
8/1/2015,8/31/2016,0,0,0
9/1/2015,9/30/2016,0,0,0
10/1/2015,10/31/2016,0,0,0
11/1/2015,11/30/2016,0,0,0
12/1/2015,12/31/2016,0,0,0
,,,,
Year,2015,,,
From,To ,Consumption,Demand ,Total Cost
Date (mm/dd/yy,Date (mm/dd/yy,kWh,kW,$
1/1/2015,1/31/2015,129000,0,13551.38
2/1/2015,2/28/2015,130200,0,13181.9
3/1/2015,3/31/2015,130800,0,13303.78
4/1/2015,4/30/2015,127200,0,13000.64
5/1/2015,5/31/2015,0,0,0
6/1/2015,6/30/2015,138000,0,17536.83
7/1/2015,7/31/2015,130200,0,17678.06
8/1/2015,8/31/2015,130918,0,17542.31
9/1/2015,9/30/2015,139600,0,14578.65
10/1/2015,10/31/2015,129692,0,13632.2
11/1/2015,11/30/2015,151455,0,14524.52
12/1/2015,12/31/2015,130464,0,15190.46
,,,,
Year,2014,,,
From,To ,Consumption,Demand ,Total Cost
Date (mm/dd/yy,Date (mm/dd/yy,kWh,kW,$
1/1/2014,1/31/2014,142200,0,15527.13
2/1/2014,2/28/2014,135600,0,14750.31
3/1/2014,3/31/2014,142200,0,15000.88
4/1/2014,4/30/2014,149400,0,15320.66
5/1/2014,5/31/2014,137400,0,17442.81
6/1/2014,6/30/2014,150600,0,19417.14
7/1/2014,7/31/2014,143400,0,19138.82
8/1/2014,8/31/2014,141000,0,18429.03
9/1/2014,9/30/2014,139800,0,15423
10/1/2014,10/31/2014,142800,0,15300.75
11/1/2014,11/30/2014,138600,0,14924.91
12/1/2014,12/31/2014,118200,0,13124.08
,,,,
Year,2013,,,
From,To ,Consumption,Demand ,Total Cost
Date (mm/dd/yy,Date (mm/dd/yy,kWh,kW,$
1/1/2013,1/31/2013,139200,0,14543.36
2/1/2013,2/28/2013,135600,0,14332.59
3/1/2013,3/31/2013,136800,0,14951.44
4/1/2013,4/30/2013,141000,0,15471.17
5/1/2013,5/31/2013,150000,0,19038.59
6/1/2013,6/30/2013,149400,0,19077.78
7/1/2013,7/31/2013,146400,0,18765.69
8/1/2013,8/31/2013,149400,0,20134.19
9/1/2013,9/30/2013,145200,0,15308.72
10/1/2013,10/31/2013,147600,0,15463.47
11/1/2013,11/30/2013,154800,0,16470.76
12/1/2013,12/31/2013,138600,0,15382.87
,,,,
Year,2012,,,
From,To ,Consumption,Demand ,Total Cost
Date (mm/dd/yy,Date (mm/dd/yy,kWh,kW,$
1/1/2012,1/31/2012,0,0,0
2/1/2012,2/28/2012,0,0,0
3/1/2012,3/31/2012,0,0,0
4/1/2012,4/30/2012,0,0,0
5/1/2012,5/31/2012,145800,0,17022.67
6/1/2012,6/30/2012,150000,0,19001.75
7/1/2012,7/31/2012,153000,0,19342.15
8/1/2012,8/31/2012,151400,0,20415.39
9/1/2012,9/30/2012,148800,0,15695.12
10/1/2012,10/31/2012,141600,0,15290.9
11/1/2012,11/30/2012,162000,0,16411.42
12/1/2012,12/31/2012,124800,0,13837.25
