New Electric  Account,Account 1,,,
Utility Company,WE,,,
Account #,5265953290,,,
Rate Code,W_CG3 - WI SECONDARY - TOU,,,
Meter # 1,PNXZT15350,,,
,,,,
Electric Bills,,,,
Year,2016,,,
From,To ,Consumption,Demand ,Total Cost
Date (mm/dd/yy,Date (mm/dd/yy,kWh,kW,$
1/1/2016,1/31/2016,0,0,0
2/1/2016,2/28/2016,0,0,0
3/1/2016,3/31/2016,0,0,0
4/1/2016,4/30/2016,0,0,0
5/1/2016,5/31/2016,0,0,0
6/1/2016,6/30/2016,0,0,0
7/1/2016,7/31/2016,0,0,0
8/1/2016,8/31/2016,0,0,0
9/1/2016,9/30/2016,0,0,0
10/1/2016,10/31/2016,0,0,0
11/1/2016,11/30/2016,0,0,0
12/1/2016,12/31/2016,0,0,0
,,,,
Year,2015,,,
From,To ,Consumption,Demand ,Total Cost
Date (mm/dd/yy,Date (mm/dd/yy,kWh,kW,$
1/1/2015,1/31/2015,177858,0,19220
2/1/2015,2/28/2015,159636,0,18092
3/1/2015,3/31/2015,154306,0,16573
4/1/2015,4/30/2015,149133,0,16662
5/1/2015,5/31/2015,192400,0,20330
6/1/2015,6/30/2015,190059,0,20386
7/1/2015,7/31/2015,229735,0,23445
8/1/2015,8/31/2015,208463,0,21312
9/1/2015,9/30/2015,0,0,0
10/1/2015,10/31/2015,0,0,0
11/1/2015,11/30/2015,0,0,0
12/1/2015,12/31/2015,0,0,0
,,,,
Year,2014,,,
From,To ,Consumption,Demand ,Total Cost
Date (mm/dd/yy,Date (mm/dd/yy,kWh,kW,$
1/1/2014,1/31/2014,79690,0,12840
2/1/2014,2/28/2014,136419,0,16526
3/1/2014,3/31/2014,118658,0,15575
4/1/2014,4/30/2014,157946,0,18302
5/1/2014,5/31/2014,190690,0,21474
6/1/2014,6/30/2014,230719,0,24111
7/1/2014,7/31/2014,231569,0,23988
8/1/2014,8/31/2014,211140,0,22455
9/1/2014,9/30/2014,223982,0,23053
10/1/2014,10/31/2014,246432,0,25942
11/1/2014,11/30/2014,188266,0,20004
12/1/2014,12/31/2014,186017,0,18911
,,,,
Year,2013,,,
From,To ,Consumption,Demand ,Total Cost
Date (mm/dd/yy,Date (mm/dd/yy,kWh,kW,$
1/1/2013,1/31/2013,171000,0,18693.76
2/1/2013,2/28/2013,188400,0,20114.36
3/1/2013,3/31/2013,"207,498",0,22072.89
4/1/2013,4/30/2013,184704,0,20858.17
5/1/2013,5/31/2013,205508,0,22810.68
6/1/2013,6/30/2013,196299,0,21649.26
7/1/2013,7/31/2013,238603,0,27270.31
8/1/2013,8/31/2013,250698,0,26632.76
9/1/2013,9/30/2013,247283,0,26691.89
10/1/2013,10/31/2013,218876,0,24137.77
11/1/2013,11/30/2013,182879,0,21028.76
12/1/2013,12/31/2013,174998,0,19775.41
,,,,
Year,2012,,,
From,To ,Consumption,Demand ,Total Cost
Date (mm/dd/yy,Date (mm/dd/yy,kWh,kW,$
1/1/2012,1/31/2012,171000,0,17916.88
2/1/2012,2/28/2012,201000,0,20465.04
3/1/2012,3/31/2012,202200,0,21528.04
4/1/2012,4/30/2012,154200,0,17008.18
5/1/2012,5/31/2012,159000,0,17605.34
6/1/2012,6/30/2012,198600,0,21762.78
7/1/2012,7/31/2012,233400,0,23690.69
8/1/2012,8/31/2012,200400,0,22060.51
9/1/2012,9/30/2012,215400,0,23347.15
10/1/2012,10/31/2012,210000,0,22729.87
11/1/2012,11/30/2012,248400,0,26029.86
12/1/2012,12/31/2012,191400,0,20810.09
