New Water Account,Account 1,,
Utility Company,Deepika,,
Account #,786,,
Rate Code,Enter Rate Code here,,
Meter # 1,7863,,
,,,
Water Account Bills,,,
Year,2015,,
From,To ,Consumption,Total Cost
Date (mm/dd/yy,Date (mm/dd/yy,Gal,$
1/1/2015,1/30/2015,34,33
2/1/2015,2/28/2015,123,324
3/1/2015,3/29/2015,75,43
4/1/2015,4/29/2015,35,99
5/1/2015,5/29/2015,34567,77
6/1/2015,6/29/2015,55,56
7/1/2015,7/29/2015,76,87
8/1/2015,8/30/2015,22,34
9/1/2015,9/29/2015,56,87
10/1/2015,10/29/2015,12,34
11/1/2015,11/29/2015,765,76
12/1/2015,12/29/2015,3456,456
,,,
Year,2014,,
From,To ,Consumption,Total Cost
Date (mm/dd/yy,Date (mm/dd/yy,Gal,$
1/1/2014,1/30/2014,45,7654
2/1/2014,2/28/2014,234,2345
3/1/2014,3/29/2014,43,2345
4/1/2014,4/29/2014,35,2345
5/1/2014,5/29/2014,34,765
6/1/2014,6/29/2014,45,5456
7/1/2014,7/29/2014,34,345
8/1/2014,8/30/2014,34,44
9/1/2014,9/29/2014,45,234
10/1/2014,10/29/2014,56,44
11/1/2014,11/29/2014,56,2345
12/1/2014,12/29/2014,6,67
,,4,54
Year,2013,,
From,To ,Consumption,Total Cost
Date (mm/dd/yy,Date (mm/dd/yy,Gal,$
1/1/2013,1/30/2013,234,4
2/1/2013,2/28/2013,34,34
3/1/2013,3/29/2013,45,76
4/1/2013,4/29/2013,345,45
5/1/2013,5/29/2013,45,65
6/1/2013,6/29/2013,45,23
7/1/2013,7/29/2013,5,45
8/1/2013,8/29/2013,45,65
9/1/2013,9/29/2013,56,66
10/1/2013,10/29/2013,566,56
11/1/2013,11/29/2013,56,76
12/1/2013,12/29/2013,5,67
,,,
Year,2012,,
From,To ,Consumption,Total Cost
Date (mm/dd/yy,Date (mm/dd/yy,Gal,$
1/1/2012,1/30/2012,665,34
2/1/2012,2/28/2012,45,45
3/1/2012,3/29/2012,45,345
4/1/2012,4/28/2012,45,45
5/1/2012,5/28/2012,4545,45
6/1/2012,6/27/2012,76,5
7/1/2012,7/27/2012,65,23
8/1/2012,8/26/2012,65,45
9/1/2012,9/25/2012,98,65
10/1/2012,10/25/2012,88,66
11/1/2012,11/24/2012,12,56
12/1/2012,12/24/2012,34,4545
